Rare biomedical words	Paraphrase
embolic	of relating to an embolus embolism
circumflex	characterized by the pitch, quantity, quality indicated by a circumflex
nephrectomy	the surgical removal of a kidney
agenesis	lack failure of development (as of a body part)
hilar	located near a hilum
suctioning	the act process of sucking
claudication	the quality state of being lame
pheochromocytoma	a tumor that is derived from chromaffin cells and is usually associated with paroxysmal sustained hypertension —called also pheo
chlamydia	any of a genus (chlamydia, family chlamydiaceae) of spherical gram-negative intracellular bacteria
tachypnea	abnormally rapid breathing
emesis	an act instance of vomiting
bursitis	inflammation of a bursa (as of the shoulder elbow)
diverticulitis	inflammation of a diverticulum
colostomy	surgical formation of an artificial anus by connecting the colon to an opening in the abdominal wall
thyroidectomy	surgical removal of thyroid gland tissue
hypercholesterolemia	the presence of excess cholesterol in the blood
dysuria	difficult painful discharge of urine
chemistries	a science that deals with the structure and properties of substances and with the changes that they go through
hemodynamically	involving hemodynamics
diaphoresis	perspiration
curettage	a surgical scraping cleaning by means of a curette
lobectomy	surgical removal of a lobe of an organ (such as a lung) gland (such as the thyroid)
neurologically	a branch of medicine concerned especially with the structure, function, and diseases of the nervous system
abruption	a sudden breaking off away
uri	canton of central switzerland south of lake of lucerne
hemorrhaging	a copious heavy discharge of blood from the blood vessels
coagulated	to cause to become viscous thickened into a coherent mass
appendectomy	surgical removal of the vermiform appendix
strep	streptococcus
hiv	either of two retroviruses that infect and destroy helper t cells of the immune system causing the marked reduction in their numbers that is diagnostic of aids
dermatologic	a branch of medicine dealing with the skin, its structure, functions, and diseases
hematology	a medical science that deals with the blood and blood-forming organs
downsized	to reduce in size
diltiazem	a calcium channel blocker c22h26n2o4s used especially in the form of its hydrochloride as a coronary vasodilator
pylorus	the muscular opening from the vertebrate stomach into the intestine
readmitted	to admit (someone) again
metoprolol	a beta-blocker c15h25no3 used in the form of its succinate and tartrate especially to treat hypertension and angina pectoris
nifedipine	a calcium channel blocker c17h18n2o6 that is a coronary vasodilator used especially in the treatment of angina pectoris
hypothermic	subnormal temperature of the body
herpetic	any of several inflammatory diseases of the skin caused by herpesviruses and characterized by clusters of vesicles
succinylcholine	a basic compound that is used intravenously chiefly in the form of a hydrated chloride c14h30cl2n2o4·2h2o as a muscle relaxant in surgery
decelerations	to reduce the speed
lightheadedness	mentally disoriented
mrs	plural of madam
palpitation	a rapid pulsation
urologist	a physician who specializes in the urinary urogenital tract
antacid	an agent that counteracts neutralizes acidity
orthotropic	having the longer axis more less vertical
hiatal	involving a hiatus
tonsillectomy	the surgical removal of the tonsils
gallstone	a calculus (as of cholesterol) formed in the gallbladder biliary passages
lithotripsy	the breaking (as by shock waves crushing with a surgical instrument) of a calculus in the urinary system into pieces small enough to be voided washed out
hepatoma	a usually malignant tumor of the liver
hypogastric	of relating to the lower median region of the abdomen
varicocele	a varicose enlargement of the veins of the spermatic cord
lumpectomy	excision of a breast tumor with a limited amount of associated tissue
antihypertensives	a substance that is effective against high blood pressure
vaginally	affecting the genital vagina
arytenoid	relating to being either of two small laryngeal cartilages to which the vocal cords are attached
immunosuppressants	an agent that suppresses the immune response
normotensive	having normal blood pressure
pleuritic	inflammation of the pleura that is typically characterized by sudden onset, painful and difficult respiration, and exudation of fluid fibrinous material into the pleural cavity
metastasized	to spread grow by as if by metastasis
atenolol	in the treatment of hypertension
endometritis	inflammation of the endometrium
nh	nihonium
cholelithiasis	production of gallstones
pressor	raising tending to raise blood pressure
nasally	the nosepiece of a helmet
afebrile	not marked by having a fever
lyse	to cause to undergo lysis
phos	a soup made of beef chicken broth and rice noodles
sarcoid	any of various diseases characterized especially by the formation of nodules in the skin
hemiplegic	total partial paralysis of one side of the body that results from disease of injury to the motor centers of the brain
suctioned	the act process of sucking
deconditioning	to cause extinction of (a conditioned response)
diverticulosis	an intestinal disorder characterized by the presence of many diverticula
apneic	affected by apnea
cavitary	characterized by bodily cavitation
diaphoretic	having the power to increase perspiration
vomitus	material ejected by vomiting
cath	catheterization
bronchogenic	arising in by way of the air passages of the lungs
thromboses	the formation presence of a blood clot within a blood vessel
creat	an east indian herb (andrographis paniculata) having a juice that is a strong bitter tonic variously used in local medicine
appy	appaloosa
hemorrhoid	an abnormal mass of dilated and engorged blood vessels in swollen tissue that occurs internally in the anal canal externally around the anus, that may be marked by bleeding, pain, itching, and that when occurring internally often protrude through the outer sphincter of the anus and when occurring externally may lead to thrombosis —usually used in plural—called also piles
postinfectious	occurring after and especially as a result of an infection
decortication	the act process of removing the outer coverings (such as bark husks) from something (such as fiber seed)
obtunded	to reduce the edge violence
guaiac	guaiacum
neonatology	a branch of medicine concerned with the care, development, and diseases of newborn infants
troponins	a protein of muscle that together with tropomyosin forms a regulatory protein complex controlling the interaction of actin and myosin and that when combined with calcium ions permits muscular contraction
acidotic	an abnormal condition characterized by reduced alkalinity of the blood and of the body tissues
varix	an abnormally dilated swollen blood lymph vessel and especially a vein (as of the esophagus stomach)
heartrate	the rate at which the heart beats
xray	used as a code word for the letter x
endstage	being occurring in the final stages of a terminal disease condition
herm	a statue in the form of a square stone pillar surmounted by a bust head especially of hermes
bacteremic	the presence of bacteria in the blood
mri	magnetic resonance imaging
lastname	surname
foley	sound effects created for a film —usually used before another noun
bicarb	sodium bicarbonate
osh	city in southern kyrgyzstan on the border with uzbekistan population 238,000
expectorating	to eject from the throat lungs by coughing hawking and spitting
blowby	leakage of combustion gases between a piston and the cylinder wall into the crankcase in an automobile
pda	a small handheld device equipped with a microprocessor that is used especially for storing and organizing personal information (such as addresses and schedules)
hdl	a lipoprotein of blood plasma that is composed of a high proportion of protein with little triglyceride and cholesterol and that is correlated with reduced risk of atherosclerosis : good cholesterol
pcp	phencyclidine
canula	a small tube for insertion into a body cavity into a duct vessel
ldl	a lipoprotein of blood plasma
alzheimers	a degenerative brain disease of unknown cause that is the most common form of dementia, that usually starts in late middle age in old age, that results in progressive memory loss, impaired thinking, disorientation, and changes in personality and mood, and that is marked histologically by the degeneration of brain neurons especially in the cerebral cortex and by the presence of neurofibrillary tangles and plaques containing beta-amyloid —abbreviation ad
igg	a class of immunoglobulins including the most common antibodies circulating in the blood that facilitate the phagocytic destruction of microorganisms foreign to the body, that bind to and activate complement, and that are the only immunoglobulins to cross over the placenta from mother to fetus
copd	chronic obstructive pulmonary disease
dysphasic	loss of deficiency in the power to use understand language as a result of injury to disease of the brain
afib	atrial fibrillation
tpn	nadp
lymphnodes	any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue
thusfar	at to a considerable distance in space
mrsa	any of several strains of a bacterium (staphylococcus aureus) that are resistant to methicillin and related antibiotics (such as penicillin) and typically live harmlessly on skin and mucous membranes but may cause usually mild infections of the skin sometimes more severe infections (as of the blood, lungs, bones) especially in hospitalized immunocompromised individuals
csection	cesarean section
pcps	phencyclidine
plavix	clopidogrel
